,variance,mean,min,max
1552814_a_at,0.7399001893939396,3.7275757575757567,2.16,4.77
1552816_at,0.29803598484848504,2.992121212121212,1.76,3.47
1552818_a_at,0.4317590909090909,3.0718181818181813,1.81,3.93
1552819_at,0.6146642045454547,4.667272727272727,3.27,5.77
1552822_at,0.24936666666666665,2.6166666666666667,1.75,3.09
1552825_at,0.7164405303030301,4.32969696969697,3.1,5.88
1552826_at,0.3275416666666669,2.663333333333333,1.63,3.27
1552827_s_at,0.34565587121212127,3.3393939393939385,2.16,4.08
1552828_at,0.10520075757575757,4.375151515151516,3.84,5.0
1552829_at,0.320054734848485,4.38878787878788,2.8,5.03
1552830_at,0.17334678030303027,3.89030303030303,3.04,4.74
1552833_at,0.6292501893939394,5.5142424242424255,3.89,6.85
1552834_at,0.6020530303030303,5.73030303030303,4.37,6.69
1552835_at,0.34150643939393965,2.927575757575758,1.63,3.6
1552836_at,0.09376893939393943,5.582424242424242,4.85,6.12
1552837_at,0.2791092803030302,2.5230303030303034,1.56,3.14
1552839_at,0.8006092803030301,3.59030303030303,1.93,4.68
1552841_s_at,0.32417518939393936,3.185757575757576,2.0,3.92
1552842_at,0.5517291666666667,5.2633333333333345,3.92,6.31
1552843_at,0.8164070075757572,4.578484848484848,2.75,6.26
1552845_at,0.8203000000000001,4.3100000000000005,2.73,5.77
1552846_s_at,0.3962445075757577,4.535151515151514,3.31,5.22
1552848_a_at,0.6548153409090908,3.7918181818181824,2.26,4.83
1552849_at,0.3445267045454545,2.7972727272727265,1.54,3.5
1552851_at,0.36312727272727285,2.9290909090909087,1.8,3.72
1552852_a_at,0.4368710227272728,2.9309090909090902,1.59,3.7
1552853_at,0.6063988636363639,5.003636363636364,3.57,5.84
1552854_a_at,0.818948484848485,5.04878787878788,3.38,5.99
1552856_at,0.5151979166666667,3.563333333333333,2.22,4.62
1552857_a_at,0.5944028409090911,3.9218181818181814,2.54,5.11
1552858_at,0.29833541666666663,2.5633333333333326,1.51,3.07
1552860_at,1.0345092803030302,4.333030303030303,2.39,5.62
1552862_at,0.8707710227272727,4.04090909090909,2.44,5.27
1552863_a_at,0.46460056818181805,6.614545454545453,5.28,7.54
